time,observed,seasonal,trend,resid
2021-01-01 00:00:00+00:00,4.0300000000000002,-2.5079151904133288,8.6073495918496992,-2.0694344014363697
2021-01-01 01:00:00+00:00,3.9820000000000002,-3.3080442266100705,8.6091950068465657,-1.3191507802364946
2021-01-01 02:00:00+00:00,8.1460000000000008,-1.4585082675985943,8.611025156062512,0.99348311153608293
2021-01-01 03:00:00+00:00,8.6159999999999997,-1.5738864444500495,8.6128400278338528,1.5770464166161968
2021-01-01 04:00:00+00:00,10.207000000000001,0.14697328701271681,8.6146396019177232,1.4453871110695609
2021-01-01 05:00:00+00:00,10.234,0.56599900943029091,8.6164238392362158,1.0515771513334933
2021-01-01 06:00:00+00:00,8.1869999999999994,-2.3472360530249836,8.6181926826281572,1.9160433703968263
2021-01-01 07:00:00+00:00,7.9640000000000004,-2.8883716762360181,8.6199460588036061,2.232425617432412
2021-01-01 08:00:00+00:00,7.6669999999999998,-1.7795480561718704,8.6216838711852777,0.82486418498659297
2021-01-01 09:00:00+00:00,8.6259999999999994,0.25625250648126058,8.6234059985245235,-0.25365850500578446
2021-01-01 10:00:00+00:00,11.983000000000001,1.259504902681128,8.6251123086584673,2.0983827886604054
2021-01-01 11:00:00+00:00,9.6270000000000007,26.33370950464607,8.6268026662442416,-25.333512170890312
2021-01-01 12:00:00+00:00,9.5890000000000004,-0.60727514128329885,8.6284769192417468,1.5677982220415529
2021-01-01 13:00:00+00:00,9.0600000000000005,1.9476594007359551,8.6301349085042443,-1.5177943092401991
2021-01-01 14:00:00+00:00,5.7990000000000004,-0.57428347884404607,8.631776465311134,-2.258492986467088
2021-01-01 15:00:00+00:00,5.3860000000000001,-0.69220897639349233,8.6334014365159657,-2.5551924601224734
2021-01-01 16:00:00+00:00,5.4290000000000003,-2.342324438302164,8.6350096978333983,-0.8636852595312341
2021-01-01 17:00:00+00:00,5.306,-2.8240094726034148,8.6366011542211254,-0.50659168161771007
2021-01-01 18:00:00+00:00,5.2240000000000002,-2.6510722762110843,8.6381757262723617,-0.76310345006127722
2021-01-01 19:00:00+00:00,6.8739999999999997,-0.28695885450898589,8.6397333443748145,-1.4787744898658293
2021-01-01 20:00:00+00:00,4.101,-2.1299449899368499,8.6412739517505184,-2.4103289618136685
2021-01-01 21:00:00+00:00,4.3550000000000004,-0.63765789004041495,8.6427975129076096,-3.6501396228671945
2021-01-01 22:00:00+00:00,6.6520000000000001,0.10650128588699256,8.6443040242850433,-2.0988053101720361
2021-01-01 23:00:00+00:00,4.2199999999999998,-1.953305947194161,8.6457935213393302,-2.4724875741451697
2021-01-02 00:00:00+00:00,6.5339999999999998,-2.1895238371468002,8.6472660714806846,0.076257765666115418
2021-01-02 01:00:00+00:00,6.194,-2.974347165919033,8.648721769334033,0.51962539658500084
2021-01-02 02:00:00+00:00,5.952,-1.5127331376301307,8.6501607160923246,-1.1854275784621944
2021-01-02 03:00:00+00:00,5.6020000000000003,-1.526882185242336,8.6515830142465475,-1.5227008290042114
2021-01-02 04:00:00+00:00,6.6299999999999999,0.099588728497785925,8.6529887817454192,-2.1225775102432056
2021-01-02 05:00:00+00:00,7.0999999999999996,0.37331908222863153,8.6543781595256206,-1.9276972417542524
2021-01-02 06:00:00+00:00,6.8159999999999998,-2.3515820436613426,8.6557513164885993,0.51183072717274314
2021-01-02 07:00:00+00:00,5.5220000000000002,-2.7232650421440301,8.6571084444264024,-0.41184340228237204
2021-01-02 08:00:00+00:00,6.2960000000000003,-1.7625217669819551,8.6584497399046967,-0.59992797292274069
2021-01-02 09:00:00+00:00,6.133,0.31395479080983263,8.6597754074488247,-2.8407301982586572
2021-01-02 10:00:00+00:00,5.9039999999999999,1.3769020038107282,8.6610856672262191,-4.1339876710369472
2021-01-02 11:00:00+00:00,5.9390000000000001,24.029052875454649,8.6623807737278824,-26.752433649182532
2021-01-02 12:00:00+00:00,5.2720000000000002,0.51635941641859673,8.6636610197244437,-3.9080204361430404
2021-01-02 13:00:00+00:00,6.6989999999999998,1.8088697410218635,8.6649267169591457,-3.7747964579810098
2021-01-02 14:00:00+00:00,9.2449999999999992,-0.62012710132972171,8.6661782159913656,1.1989488853383552
2021-01-02 15:00:00+00:00,6.383,-0.77580902579653155,8.6674159036903973,-1.5086068778938655
2021-01-02 16:00:00+00:00,3.7429999999999999,-2.2947732457300543,8.6686401730171294,-2.6308669272870748
2021-01-02 17:00:00+00:00,4.1900000000000004,-2.6888976042748549,8.6698514375910261,-1.7909538333161708
2021-01-02 18:00:00+00:00,5.2670000000000003,-2.257470994217214,8.6710501435911009,-1.1465791493738866
2021-01-02 19:00:00+00:00,4.5730000000000004,-0.33133191150951513,8.6722367650639818,-3.7679048535544659
2021-01-02 20:00:00+00:00,5.1980000000000004,-2.0771779799196466,8.6734118020260098,-1.3982338221063628
2021-01-02 21:00:00+00:00,8.5090000000000003,-0.63846063524353469,8.6745757923505824,0.47288484289295241
