sector_index,average_transport_kg_per_m
0,73.1062178966651
1,9.9087222098519359
2,36.001870842704164
3,125.86093977949065
4,1245.3953822136666
5,2368.8005708963647
6,1568.7109639588441
7,1330.1447838458375
8,924.59115259688565
9,1035.3193587662838
10,1511.881355419285
11,6053.0426507130896
12,8031.6609374376367
13,9563.6692366129791
14,1642.0282444527343
15,306.3067790029877
