Qupot (kg/m),Qspot (kg/m),Srwe (mm),Qinf (kg/m),Qt (kg/m),Control,season
50261.650264220014,1419450.0000000002,473.15000000000009,50261.650264220014,50261.650118835852,Wind controlled,2019-2020
21391.208069070461,596250,198.75,21391.208069070461,21391.208007195397,Wind controlled,2020-2021
