model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std
Seasonal naive,48758.772000000004,8493.6782843887922,57556.43635428571,15463.455500052807,2.4055895714071416,0.35408916424263687
SARIMAX (no exog),37097.594718288361,7633.4629108986928,43707.298378022118,3319.8833185412391,1.8482075561843445,0.46620024530203386
