time,precip,roll24,lof_score,is_anom
2020-01-01 00:00:00+00:00,0.10000000000000001,0.10000000000000001,1.0311236457876085,False
2020-01-01 01:00:00+00:00,0,0.050000000000000003,0.99999999840020082,False
2020-01-01 02:00:00+00:00,0,0.033333333333333333,1.0000002128312282,False
2020-01-01 03:00:00+00:00,0,0.025000000000000001,5555554.585119064,False
2020-01-01 04:00:00+00:00,0,0.02,8333331.0141501985,True
2020-01-01 05:00:00+00:00,0,0.016666666666666666,1.0000000871891153,False
2020-01-01 06:00:00+00:00,0,0.014285714285714287,17857139.315540738,True
2020-01-01 07:00:00+00:00,0,0.012500000000000001,1.0000000766892185,False
2020-01-01 08:00:00+00:00,0,0.011111111111111112,13702929.515855281,True
2020-01-01 09:00:00+00:00,0,0.01,15944303.777268643,True
2020-01-01 10:00:00+00:00,0,0.0090909090909090922,7575757.9117286485,True
2020-01-01 11:00:00+00:00,0,0.0083333333333333332,1.0000000521814365,False
2020-01-01 12:00:00+00:00,0,0.0076923076923076927,6393467.2973735007,True
2020-01-01 13:00:00+00:00,0,0.0071428571428571435,11439291.944804462,True
2020-01-01 14:00:00+00:00,0,0.0066666666666666671,14546662.772595556,True
2020-01-01 15:00:00+00:00,0,0.0062500000000000003,16529443.076038795,True
2020-01-01 16:00:00+00:00,0,0.0058823529411764705,14148264.804241283,True
2020-01-01 17:00:00+00:00,0,0.0055555555555555558,11935330.34021809,True
2020-01-01 18:00:00+00:00,0,0.005263157894736842,9770188.978638839,True
2020-01-01 19:00:00+00:00,0,0.0050000000000000001,7642046.8691248465,True
2020-01-01 20:00:00+00:00,0,0.0047619047619047623,5608715.1049657464,False
2020-01-01 21:00:00+00:00,0,0.0045454545454545461,3667302.3602825711,False
2020-01-01 22:00:00+00:00,0,0.0043478260869565218,1811594.9297827196,False
2020-01-01 23:00:00+00:00,0,0.0041666666666666666,1.000000164225272,False
2020-01-02 00:00:00+00:00,0,0,1,False
2020-01-02 01:00:00+00:00,0,0,1,False
2020-01-02 02:00:00+00:00,0,0,1,False
2020-01-02 03:00:00+00:00,0,0,1,False
2020-01-02 04:00:00+00:00,0,0,1,False
2020-01-02 05:00:00+00:00,0,0,1,False
2020-01-02 06:00:00+00:00,0,0,1,False
2020-01-02 07:00:00+00:00,0,0,1,False
2020-01-02 08:00:00+00:00,0,0,1,False
2020-01-02 09:00:00+00:00,0,0,1,False
2020-01-02 10:00:00+00:00,0,0,1,False
2020-01-02 11:00:00+00:00,0,0,1,False
2020-01-02 12:00:00+00:00,0,0,1,False
2020-01-02 13:00:00+00:00,0,0,1,False
2020-01-02 14:00:00+00:00,0,0,1,False
2020-01-02 15:00:00+00:00,0,0,1,False
2020-01-02 16:00:00+00:00,0,0,1,False
2020-01-02 17:00:00+00:00,0,0,1,False
2020-01-02 18:00:00+00:00,0.10000000000000001,0.0041666666666666666,0.9968954248804317,False
2020-01-02 19:00:00+00:00,0.5,0.024999999999999998,1.1243033493733325,False
2020-01-02 20:00:00+00:00,2.7999999999999998,0.14166666666666666,1.2776332812297455,False
2020-01-02 21:00:00+00:00,2.8999999999999999,0.26250000000000001,1.187794695779542,False
2020-01-02 22:00:00+00:00,2.2000000000000002,0.35416666666666669,1.1398341568914818,False
2020-01-02 23:00:00+00:00,1,0.39583333333333331,1.0074098903097313,False
2020-01-03 00:00:00+00:00,1.3,0.45000000000000001,1.0377276068485244,False
2020-01-03 01:00:00+00:00,1.8,0.52500000000000002,1.0164498712953527,False
2020-01-03 02:00:00+00:00,4.5,0.71250000000000002,1.5444445671233014,False
2020-01-03 03:00:00+00:00,3.7999999999999998,0.87083333333333324,1.2523799773813262,False
2020-01-03 04:00:00+00:00,1.6000000000000001,0.9375,1.1229536918316068,False
2020-01-03 05:00:00+00:00,0.59999999999999998,0.96249999999999991,1.1497714304643636,False
2020-01-03 06:00:00+00:00,1.3,1.0166666666666666,1.1151236373955871,False
2020-01-03 07:00:00+00:00,0.90000000000000002,1.0541666666666667,1.123603734649484,False
